"","LTF","SLC6A16","FCGR2B","WNT11","CSF2RB","MEFV","CA2","CD79A","SIGLEC6","PLEK","CCRL2","TREM1","PKMYT1","C5AR2","LACRT","IRF4","FCRL5","NKX6-2","MS4A1","LCN1","FCGR3B","OPRPN","TMPRSS11B","IGKC","IGHA1","IGHG1","IGHG3","IGHM","LINGO3","C14orf132"
"Gardnerella vaginalis",-0.0304279851475474,-0.00858175248419151,0.314216163583252,0.00337637046497806,-0.0546609341410983,0.106164383561644,0.111538461538462,0.115049981488338,-0.0928830697433238,0.158960328317373,0.0958817849796398,0.241399952111102,0.198591549295775,0.0148241392077008,-0.00706348428946137,0.0662020905923345,-0.108330288637194,0.176292062368012,0.0855831173639393,-0.00684418345651514,0.237756976642463,-0.0841291827659109,0.435466479137365,0.00262474367737526,-0.0544026306174644,-0.0627766599597585,0.0300409117475161,0.0991951710261569,0.158605604921394,0.0466493891151425
"Malassezia furfur",0.265676249276481,0.19431643625192,0.0106227106227106,0.418059614260666,0.193527833668679,0.0609929997407311,-0.0696044546850998,0.427352425482174,0.365032377428307,0.168041582830315,0.0886742756804214,0.146536796536797,-0.0150375939849624,0.262239510975271,0.331550802139037,0.0621063480551208,0.386815958657603,-0.106081438392385,0.414102564102564,0.349799050054805,0.0316078051927108,0.230198582801155,0.0938644688644689,0.405769969278034,0.285066113559762,0.470192869666862,0.279390420899855,0.332892649391856,0.0677966101694915,0.392662691210786
"Streptococcus pneumoniae",0.314285714285714,0.835164835164835,-0.351648351648352,0.696969696969697,-0.283516483516484,-0.307692307692308,-0.34965034965035,0.0787878787878788,-0.0303030303030303,-0.0494505494505495,-0.120879120879121,-0.048951048951049,-0.286713286713287,0.16043956043956,0.323076923076923,-0.167832167832168,-0.236263736263736,-0.0727272727272727,-0.0384615384615385,0.52967032967033,0.181818181818182,0.169230769230769,0.285714285714286,0.395604395604396,0.0424242424242424,0.230769230769231,0.248484848484848,-0.0909090909090909,0,0.362637362637363
"Brevundimonas vesicularis",0.179176499594942,-0.324498286523603,-0.293670539986329,-0.0315932370726891,-0.170470305203076,-0.077106114950573,-0.16605701592003,-0.130889685941737,-0.086276407031124,-0.149563658663144,-0.312503796699403,-0.183608058608059,-0.0161225955782584,-0.203359286151693,0.297346640701071,-0.153296111274366,-0.256203890006707,-0.153902939166097,-0.285194805194805,0.321552903438841,-0.375722784678009,0.17062768827003,-0.0385666964614333,-0.087027027027027,-0.0756961862499196,-0.260529845741113,-0.211947763267574,-0.203617099013518,-0.171007781850923,-0.33346747149564
"Moraxella osloensis",0.344470166814332,0.0500210393435725,-0.0801511758118701,0.0654722089504698,-0.000337556994231302,0.111412931637651,0.110240484153528,-0.0415360501567398,0.0678026977412403,-0.0282691387258483,0.060941000746826,0.0194796061884669,0.0192300175884307,0.132226762002043,0.363336712379422,0.0147751497022918,-0.0479968731678718,0.110797612588171,0.012995732744472,0.302144457484263,0.0265465222233472,0.198936107682361,-0.0357642777155655,-0.0114077231513925,-0.0188087774294671,-0.00464759959141982,-0.0431294452347084,-0.0840511344874758,0.022105430801083,-0.0586629565707442
"Staphylococcus warneri",0.187996243490139,-0.182932469935245,-0.302004316990441,-0.188720525079005,0.0122171945701357,0.124267653407339,-0.0371541501976285,0.0179442508710801,0.128342245989305,0.137448979591837,0.107418967587035,0.103366524419156,0.301393728222997,0.175173663545757,0.358371877890842,-0.0818378045020043,0.0477801268498943,0.145059288537549,0.200493370336109,0.440620929222753,-0.0240890688259109,0.259831932773109,0.103735024665257,0.102635046113307,0.163213530655391,0.0644115574348132,0.0919324577861163,-0.122064777327935,0.115954946924885,-0.206192358366271
"Brevundimonas diminuta",0.354419441944194,-0.252400408580184,-0.283607931763505,-0.0854915460159968,0.0414100185528757,0.00279165442256832,-0.0700415105801357,-0.00387049659201558,0.00666314119513485,0.0198343629860567,0.00835594139989148,0.00816500711237553,0.0167464114832536,-0.0818776460856978,0.325057443824416,0.0358559404688798,0.0235816814764183,-0.221848473107675,0.0632765696495118,0.342770355564906,-0.0512778360879627,0.104551638837353,-0.024338698883449,-0.0532368593715827,-0.026769807782466,0.0386260489110915,-0.0271830471318962,-0.0357996433945801,-0.0447136994332617,-0.253872633390706
"Actinomyces sp. oral taxon 171",0.36950146627566,-0.09688013136289,-0.290767519466073,0.140512820512821,0.47741935483871,0.632183908045977,0.192118226600985,0.290769230769231,0.158102766798419,0.657661290322581,0.683467741935484,0.59,0.00717948717948718,0.668308702791461,0.578325123152709,0.325917686318131,0.370769230769231,-0.208888888888889,0.451159951159951,0.373081201334816,0.587301587301587,0.467741935483871,-0.172771672771673,0.058128078817734,0.438461538461538,0.397435897435897,0.269230769230769,0.278373800112931,0.222769567597154,-0.0935960591133005
"Schaalia odontolytica",0.275510204081633,0.256244218316374,0.417716022579244,0.177448907681466,0.415702280912365,0.311378353376503,0.437028088190879,0.230313588850174,0.285561497326203,0.451150673035171,0.280937907077725,0.395348837209302,0.0981781376518219,0.549823819591261,0.249407114624506,0.544532279314888,0.335834896810507,0.025369978858351,0.462579281183932,0.226988899167438,0.302325581395349,0.245115067303517,0.163372859025033,0.354726668680157,0.285698654119707,0.345433919455474,0.440056022408964,0.225101214574899,0.476416337285902,-0.104934770277935
"Neisseria elongata",0.0108695652173913,0.0581592320722755,0.276691729323308,-0.0727272727272727,0.225296442687747,0.428571428571429,0.0675324675324675,0.374613003095975,0.0785714285714286,0.27046866177301,0.118012422360248,0.389705882352941,0.752321981424149,0.0287972896668549,0.118012422360248,0.0012987012987013,0.398496240601504,0.712280701754386,0.318796992481203,0.171428571428571,0.154887218045113,0.057029926595144,-0.225296442687747,0.42406015037594,0.554179566563468,0.312693498452012,0.564835164835165,0.306501547987616,0.585964912280702,0.419480519480519
"Klebsiella aerogenes",0.365662240381342,-0.3093235878046,-0.354805194805195,-0.0463087745279526,-0.000792504666971928,0.0123102554609404,-0.0455386893743058,-0.145962732919255,-0.052007740686986,-0.0587409783480353,0.0138166894664843,0.0614010989010989,-0.0144464841567563,-0.214185110663984,0.317513958272113,-0.0784182024264305,-0.0413041743155878,-0.122548337738211,0.0432809295967191,0.386266774682118,-0.0753783529902933,0.256841956958191,-0.17839122902414,0.00390977443609023,-0.0122401073105298,0.0177503376422921,-0.203120042305658,-0.0456159102187273,-0.0039244724176231,-0.289201877934272
"Pseudomonas aeruginosa",0.279742898610823,-0.326518079687895,-0.175284743307184,-0.161780728634661,-0.0544743662961824,-0.031129255668149,0.102962206332993,-0.0670244001214944,-0.0353021978021978,-0.0771427316258841,-0.205800815375655,-0.171006208980892,0.00360248582405503,-0.143450162743526,0.443603023516237,-0.116536796536797,-0.147832522501932,-0.120139655635463,-0.0883154298884636,0.415352358765288,-0.257813911472448,0.228731462712045,-0.193825809534084,-0.0711419015766842,-0.0981269616280247,-0.0536157365913486,-0.0434407009749475,-0.00411401704378489,-0.000228945792680779,-0.280046902481923
"Malassezia restricta",0.39219945316147,-0.0298232695139912,-0.0276875699888018,0.135817805383023,-0.00721968914527546,0.0230892702802815,-0.0360726230291448,0.264981409929285,0.334623673078458,0.127561276670781,-0.115053878160674,0.147491795593061,0.156810631229236,0.240040858018386,0.438402540022569,0.0594568308915415,0.227125268712136,-0.0741318502441671,0.313941690788099,0.486866531526726,0.0960818062164625,0.394884304159564,0.0485442329227324,0.333135859552794,0.329973755194284,0.293922369765066,0.270298719772404,0.317514977121562,0.149227584010193,0.0599309640378993
"Cutibacterium acnes",0.392771061381196,-0.100541763096991,-0.0614921612541993,0.0716993151775761,-0.0241076151850266,0.0342676050541219,-0.0640707118967989,0.160603630531457,0.183773645143268,0.0627201047938131,-0.0644724207831004,0.180028129395218,0.131287863982802,0.15956758597208,0.495527545601183,-0.0925581421648733,0.0439906195036154,-0.240219750406945,0.211408194324252,0.497204737010562,-0.0588640275387263,0.268549540547425,-0.0578807390817469,0.200520174836542,0.204509003426405,0.224259448416752,0.269217638691323,0.195226189914619,0.0926580665711101,-0.0648268817583037
"Pseudomonas monteilii",0.262879064669346,-0.118032786885246,-0.0576271186440678,-0.242240610292534,0.120433637439401,0.0887902330743618,3.07607124180996e-05,0.0321067821067821,0.36172607879925,-0.010230179028133,0.0240684688445883,0.210106382978723,0.0930735930735931,-0.221421764817991,0.280677655677656,-0.116071428571429,0.100793650793651,-0.122200611280911,0.16071130869686,0.421302578018996,0.0433613445378151,0.128602511737985,0.118176504967855,0.111630625365283,0.223480083857442,0.0460834762721555,0.316489361702128,0.0550790928149419,0.169480519480519,0.161790840738209
